Loved O O
the O O
writing B-style B-style
style I-style I-style
the O O
line B-style B-style
Penelope's O B-event
skin O I-event
was O I-event
not O I-event
divine O I-event
was O O
great O O
, O O
as O O
was O O
the O O
last B-style B-style
line I-style I-style
! O O

Oh B-NULL_aspect B-NULL_aspect
my I-NULL_aspect I-NULL_aspect
God I-NULL_aspect I-NULL_aspect
! O O
! O O
! O O

Come O O
on O O
, O O
Greek O O
lovers O O
, O O
drown O O
Sparklight O O
in O O
love B-NULL_aspect B-NULL_aspect
and I-NULL_aspect O
kudos I-NULL_aspect B-NULL_aspect
! O O
! O O
! O O

His O O
mother O O
Demeter B-character O
is O O
crazy O O
! O O

I O O
love O O
this O O
kind O O
of O O
sweet B-event O
smut I-event B-event
. O O

This B-general B-general
was O O
honestly O O
beautifully O O
written B-style B-style
. O O

Monty's B-event B-event
amnesia I-event I-event
and O O
Clarinda's B-event B-event
reaction I-event I-event
are O O
so O O
over O O
the O O
top O O
adorable O O
and O O
silly O O
too O O
. O O

I O O
feel B-reading B-reading
you O O
in O O
more O O
ways O O
than O O
one O O
; O O
that O O
i O O
never O B-reading
could O I-reading
put O I-reading
down O I-reading
a O I-reading
book O O
, O O
that O O
i O O
didnt O O
want O O
to O O
know O O
what O O
happened O O
next O O
, O O
and O O
that O O
in O O
my O O
future O O
, O O
i O O
wish O O
to O O
be O O
an O O
interpreter O O
. O O

And O O
of O O
course O O
this O O
story B-general B-general
is O O
so O O
lovely O O
so O O
I O O
m O O
always O O
looking B-reading O
forward I-reading O
to O O
a O O
new O O
chapter O O
OKAY O O
! O O

Chapter O O
92 O O
No O O
Choice O O
Oh B-NULL_aspect B-NULL_aspect
yes I-NULL_aspect I-NULL_aspect
! I-NULL_aspect O

But O O
this O O
was O O
the O O
best O O
alternative O B-event
, O O
she O O
supposed O O
. O O
; O O
it's O O
perfectly O O
cold O O
in O O
the O O
way O O
only O O
a O B-character
goddess B-character B-character
could O I-character
be O I-character
! O O

Only O O
Achilles O B-character
would O O
go O O
through O O
these O O
kinds O O
of O O
lengths O O
to O O
get O O
Patroclus' O B-character
attention O O
I O O
love O O
small O O
bouts O O
of O O
Hector B-character B-character
x I-character I-character
Patroclus I-character B-character
or O O
other B-character O
Male I-character B-character
character I-character I-character
x I-character I-character
Patroclus I-character B-character
bc O O
my O O
boy O O
is O O
definitely O O
the O O
kind O O
others O O
would O O
be O O
attracted O O
by O O
, O O
not O O
to O O
mention O O
my O O
guilty O O
pleasure O O
is O O
jealous O B-emotion
or O O
claimy O O
Achilles O B-character
keep O O
it O O
up O O
, O O
I O O
love O O
your O O
works B-general B-general

This O O
did O O
wonderful O O
work O B-general
to O O
elaborate B-canon O
on I-canon O
an I-canon O
intriguing I-canon O
, I-canon O
but I-canon O
not I-canon O
very I-canon O
developed I-canon O
part I-canon B-canon
of I-canon I-canon
the I-canon I-canon
mythos I-canon I-canon
. O O

This B-general B-general
was O O
absolutely O O
perfect O O
! O O
! O O
! O O

I O O
Love O O
how O O
even B-event O
though I-event O
she I-event O
doesn't I-event B-character
really I-event I-character
know I-event I-character
what I-event I-character
to I-event I-character
do I-event I-character
with I-event I-character
Athena's I-event B-event
gifts I-event I-event
, I-event O
she I-event O
keeps I-event O
every I-event B-general
one I-event I-general
. O O

Their B-character B-character
realtionship I-character I-character
is O O
extremely O O
well O O
written B-style B-style
. O O

Athos B-character B-character
stirred O O
. O O

P O O
. O O
S O O
. O O
the O O
scene B-event B-event
with I-event O
the I-event O
body I-event O
bag I-event O
in I-event O
the I-event O
car I-event O
gutted B-reading O
me O O

I O O
m O O
sure O O
Achilles B-character B-character
would O O
be O O
happy B-emotion O
to O O
teach O O
him O O
. O O

Fantastic B-NULL_aspect B-NULL_aspect
! O O

Certainly O O
not O O
this O O
beautifully O O
woven O B-canon
tale B-general B-general
that O O
hits B-reading B-reading
at I-reading I-reading
all I-reading I-reading
the I-reading I-reading
right I-reading I-reading
places I-reading I-reading
. O O

This O O
story B-general B-general
has O O
been O O
such O B-reading
an O O
epic O B-reading
journey O I-reading
over O O
the O O
last O O
year O O
and O O
I've O O
had O O
so O O
much O O
fun O O
workshopping O B-reading
it O O
with O O
you O O
! O O

I O O
loved O O
the O O
communication B-character B-character
on O O
display O O
here O O
, O O
and O O
how B-event O
the I-event O
Labyrinth's I-event B-event
consciousness I-event I-event
worked I-event O
. O O

Ah O O
, O O
Liz O B-character
, O O
you O O
did O O
a O O
wonderful O O
job B-general B-general
here O O
. O O

You O O
even O O
rekindled O O
my O O
forgotten O O
love O O
of O O
Invader B-character B-character
Zim I-character I-character
. O O

Persephone B-event B-character
liking I-event O
the I-event O
underworld I-event O
y I-event O
bits I-event O
better I-event O
than I-event O
the I-event O
pretty I-event O
pretty I-event O
and I-event O
choosing I-event B-event
it I-event O
for I-event O
herself I-event O
is O O
totally O O
my O O
canon O O
now O O
. O O

What O O
a O O
cunning O O
little O O
chyortik B-character B-character
! O O

Shit B-NULL_aspect B-NULL_aspect
. O O

It's O O
just O O
the O O
right O O
feeling B-reading B-reading
that O O
I O O
wanted O O
the O O
story B-general O
to O O
have O O
and O O
I O O
love O O
the O O
modern B-event B-event
setting I-event I-event
that O O
still O B-canon
kept O I-canon
true O I-canon
to O I-canon
the O I-canon
myth B-canon I-canon
. O O
I O O
actually O O
hadn't O O
read O O
a O O
lot O O
about O O
Pomona B-character O
and I-character O
Vertumnus I-character O
before O O
so O O
this O B-general
is O O
great O O
to O O
delve B-reading O
deeper I-reading O
into O O
a O O
story B-general B-general
I O O
hadn't O O
really O O
given O O
enough O O
attention O O
to O O
before O O
. O O

I O O
would O O
LOVE B-NULL_aspect O
to O O
make O O
a O O
translation O O
of O O
this O O
story O O
into O O
my O O
language O O
and O O
than O O
post O O
it O O
on O O
the O O
best O O
known O O
website O O
for O O
writers O O
we O O
have O O
here O O
. O O

I O O
keep O O
coming O O
back O O
for O O
a O O
reread O O
because O O
it B-general B-general
s O O
just O O
so O O
chefs O O
kisses O O
idk O O
why O O
but O O
it B-general B-general
resonated B-reading B-reading
with I-reading I-reading
me I-reading I-reading
so I-reading I-reading
deeply I-reading I-reading
and O O
i O O
wanted O O
to O O
thank O O
you O O
for O O
it B-general O

I O O
really O O
like O O
how O O
you O O
incorporated B-canon B-canon
Lily O B-character
s O I-character
powers O I-character
and O O
how O O
she B-character B-character
learns I-character I-character
to O I-character
let O I-character
go O I-character
of O I-character
her O I-character
fear O I-character
of O I-character
falling O B-event
asleep O I-event
, O O
it O O
was O O
a O O
really O O
sweet O O
and O O
meaningful O O
subplot B-event B-event
. O O

I O O
would O O
like O O
you O O
to O O
know O O
that O O
you O O
have O O
single O O
handedly O O
converted B-reading B-event
me I-reading O
over O O
to O O
the O O
Menelaos B-character O
Paris I-character O
agenda I-character O
. O O

Please O O
don't O O
take O O
this O O
the O O
wrong O O
way O O
, O O
but O O
the O O
thing O O
that O O
is O O
bugging O O
me O O
is O O
sex B-event B-event
. I-event O

I O O
really O O
appreciated O O
the O O
coda B-general B-event
in O O
which O O
the O O
two B-event O
reunite I-event O
. O O

I'm O O
going O O
to O O
focus O O
in O O
on O O
one O O
part O O
of O O
it O O
so O O
I O O
can O O
be O O
direct O O
, O O
the O O
structure B-style B-style
of O O
the O O
story O O
really O O
shows O O
how O O
we O O
aros O O
can O O
build O O
on O O
conventional O O
experience O O
to O O
