Loved O O
the O O
writing B-style B-style
style I-style B-style
the O O
line B-style B-style
Penelope's O O
skin O O
was O O
not O O
divine O O
was O O
great O O
, O O
as O O
was O O
the O O
last B-style B-style
line I-style B-style
! O O

Oh B-NULL_aspect B-NULL_aspect
my I-NULL_aspect B-NULL_aspect
God I-NULL_aspect I-NULL_aspect
! O O
! O O
! O O

Come O O
on O O
, O O
Greek O B-canon
lovers O O
, O O
drown O O
Sparklight O O
in O O
love B-NULL_aspect O
and I-NULL_aspect O
kudos I-NULL_aspect O
! O O
! O O
! O O

His O O
mother O B-character
Demeter B-character B-character
is O O
crazy O O
! O O

I O O
love O O
this O O
kind O O
of O O
sweet B-event O
smut I-event B-style
. O O

This B-general B-general
was O O
honestly O O
beautifully O O
written B-style B-style
. O O

Monty's B-event B-event
amnesia I-event I-event
and O B-character
Clarinda's B-event B-character
reaction I-event I-character
are O O
so O O
over O O
the O O
top O O
adorable O O
and O O
silly O O
too O O
. O O

I O O
feel B-reading B-reading
you O O
in O O
more O O
ways O O
than O O
one O O
; O O
that O O
i O O
never O O
could O O
put O O
down O O
a O O
book O O
, O O
that O O
i O O
didnt O O
want O O
to O O
know O O
what O O
happened O O
next O O
, O O
and O O
that O O
in O O
my O O
future O O
, O O
i O O
wish O O
to O O
be O O
an O O
interpreter O O
. O O

And O O
of O O
course O O
this O O
story B-general B-general
is O O
so O O
lovely O O
so O O
I O O
m O O
always O O
looking B-reading O
forward I-reading O
to O O
a O O
new O O
chapter O O
OKAY O O
! O O

Chapter O O
92 O O
No O O
Choice O O
Oh B-NULL_aspect B-NULL_aspect
yes I-NULL_aspect I-NULL_aspect
! I-NULL_aspect O

But O O
this O O
was O O
the O O
best O O
alternative O O
, O O
she O O
supposed O O
. O O
; O O
it's O O
perfectly O O
cold O O
in O O
the O O
way O O
only O O
a O O
goddess B-character O
could O O
be O O
! O O

Only O O
Achilles O B-character
would O O
go O O
through O O
these O O
kinds O O
of O O
lengths O O
to O O
get O O
Patroclus' O B-character
attention O O
I O O
love O O
small O O
bouts O B-canon
of O B-character
Hector B-character B-character
x I-character I-character
Patroclus I-character B-character
or O O
other B-character O
Male I-character O
character I-character O
x I-character B-character
Patroclus I-character B-character
bc O O
my O O
boy O O
is O O
definitely O O
the O O
kind O O
others O O
would O O
be O O
attracted O O
by O O
, O O
not O O
to O O
mention O O
my O O
guilty O O
pleasure O O
is O O
jealous O O
or O O
claimy O O
Achilles O B-character
keep O O
it O O
up O O
, O O
I O O
love O O
your O O
works B-general B-general

This O B-general
did O O
wonderful O O
work O O
to O O
elaborate B-canon O
on I-canon O
an I-canon O
intriguing I-canon O
, I-canon O
but I-canon O
not I-canon O
very I-canon O
developed I-canon O
part I-canon B-canon
of I-canon I-canon
the I-canon I-canon
mythos I-canon I-canon
. O O

This B-general B-general
was O O
absolutely O O
perfect O O
! O O
! O O
! O O

I O O
Love O O
how O O
even B-event O
though I-event O
she I-event O
doesn't I-event O
really I-event O
know I-event O
what I-event O
to I-event O
do I-event O
with I-event O
Athena's I-event B-character
gifts I-event O
, I-event O
she I-event O
keeps I-event B-event
every I-event B-character
one I-event O
. O O

Their B-character O
realtionship I-character B-event
is O O
extremely O O
well O O
written B-style B-style
. O O

Athos B-character B-character
stirred O I-character
. O O

P O O
. O O
S O O
. O O
the O O
scene B-event O
with I-event B-event
the I-event I-event
body I-event I-event
bag I-event I-event
in I-event I-event
the I-event I-event
car I-event I-event
gutted B-reading B-reading
me O I-reading

I O O
m O O
sure O O
Achilles B-character B-character
would O O
be O O
happy B-emotion O
to O O
teach O O
him O O
. O O

Fantastic B-NULL_aspect B-NULL_aspect
! O O

Certainly O O
not O O
this O O
beautifully O O
woven O B-canon
tale B-general B-general
that O O
hits B-reading O
at I-reading O
all I-reading O
the I-reading O
right I-reading O
places I-reading O
. O O

This O O
story B-general B-general
has O O
been O O
such O O
an O O
epic O O
journey O O
over O O
the O O
last O O
year O O
and O O
I've O O
had O O
so O O
much O O
fun O O
workshopping O O
it O O
with O O
you O O
! O O

I O O
loved O O
the O O
communication B-character B-event
on O B-character
display O O
here O O
, O O
and O O
how B-event O
the I-event B-event
Labyrinth's I-event I-event
consciousness I-event I-event
worked I-event I-event
. O O

Ah O O
, O O
Liz O B-character
, O O
you O O
did O O
a O O
wonderful O O
job B-general O
here O O
. O O

You O O
even O O
rekindled O O
my O O
forgotten O O
love O O
of O O
Invader B-character O
Zim I-character O
. O O

Persephone B-event B-character
liking I-event O
the I-event B-event
underworld I-event B-character
y I-event O
bits I-event O
better I-event O
than I-event O
the I-event O
pretty I-event O
pretty I-event O
and I-event O
choosing I-event B-event
it I-event I-event
for I-event I-event
herself I-event B-character
is O O
totally O O
my O O
canon O O
now O O
. O O

What O O
a O O
cunning O O
little O B-character
chyortik B-character B-character
! O O

Shit B-NULL_aspect B-NULL_aspect
. O O

It's O O
just O O
the O O
right O O
feeling B-reading B-reading
that O O
I O O
wanted O O
the O O
story B-general O
to O O
have O O
and O O
I O O
love O O
the O O
modern B-event B-canon
setting I-event I-canon
that O O
still O B-canon
kept O O
true O B-canon
to O I-canon
the O I-canon
myth B-canon I-canon
. O O
I O O
actually O O
hadn't O O
read O O
a O O
lot O O
about O O
Pomona B-character O
and I-character O
Vertumnus I-character O
before O O
so O O
this O O
is O O
great O O
to O O
delve B-reading O
deeper I-reading O
into O O
a O O
story B-general O
I O O
hadn't O O
really O O
given O O
enough O O
attention O O
to O O
before O O
. O O

I O O
would O O
LOVE B-NULL_aspect O
to O O
make O O
a O O
translation O O
of O O
this O O
story O B-general
into O O
my O O
language O O
and O O
than O O
post O O
it O O
on O O
the O O
best O O
known O O
website O O
for O O
writers O O
we O O
have O O
here O O
. O O

I O O
keep O O
coming O O
back O O
for O O
a O O
reread O O
because O O
it B-general B-general
s O O
just O O
so O O
chefs O O
kisses O O
idk O O
why O O
but O O
it B-general B-general
resonated B-reading O
with I-reading O
me I-reading O
so I-reading O
deeply I-reading O
and O O
i O O
wanted O O
to O O
thank O O
you O O
for O O
it B-general B-general

I O O
really O O
like O O
how O O
you O O
incorporated B-canon B-canon
Lily O I-canon
s O B-event
powers O I-event
and O O
how O O
she B-character B-event
learns I-character I-event
to O I-event
let O I-event
go O I-event
of O I-event
her O B-character
fear O O
of O O
falling O O
asleep O O
, O O
it O O
was O O
a O O
really O O
sweet O O
and O O
meaningful O O
subplot B-event B-general
. O O

I O O
would O O
like O O
you O O
to O O
know O O
that O O
you O O
have O O
single O O
handedly O O
converted B-reading O
me I-reading O
over O O
to O O
the O O
Menelaos B-character O
Paris I-character O
agenda I-character O
. O O

Please O O
don't O O
take O O
this O O
the O O
wrong O O
way O O
, O O
but O O
the O O
thing O O
that O O
is O O
bugging O O
me O O
is O O
sex B-event B-style
. I-event O

I O O
really O O
appreciated O O
the O O
coda B-general B-canon
in O O
which O O
the O B-event
two B-event I-event
reunite I-event I-event
. O O

I'm O O
going O O
to O O
focus O O
in O O
on O O
one O O
part O O
of O O
it O O
so O O
I O O
can O O
be O O
direct O O
, O O
the O O
structure B-style B-style
of O O
the O O
story O B-general
really O O
shows O O
how O O
we O O
aros O O
can O O
build O O
on O O
conventional O O
experience O O
to O O
create O O
new O O
ways O O
of O O
helping O O
each O O
other O O
achieve O O
a O O
happy B-emotion O
life O O
. O O

